Account Number,Date,Narration,Amount,Balance
59685221,1/07/2022,deposit,100,100
68525896,2/07/2022,,200,200
86322156,3/07/2022,deposit,300,300
59685221,4/07/2022,interest,200,300
68525896,5/07/2022,transfer in,100,200
86322156,6/07/2022,salary,100,400
59685221,7/07/2022,withdrawl,-50,250
68525896,8/07/2022,bank charge,-20,200
86322156,9/07/2022,transfer out,-80,
59685221,10/07/2022,withdrawl,-100,150
68525896,11/07/2022,eftpos payment,-100,200
86322156,12/07/2022,online payment,,300
,13/07/2022,eftpos payment,-50,200
